customer_id	amount_requested	birth_date	status	residence_rent_or_own	monthly_rent_amount	bank_account_direct_deposit	application_when	loan_duration	payment_ach	num_payments	payment_amount	amount_approved	duration_approved	payment_amount_approved	address_zip	email	bank_routing_number	email_duration	residence_duration	bank_account_duration	payment_frequency	home_phone_type	other_phone_type	how_use_money	monthly_income_amount	raw_l2c_score	raw_FICO_telecom	raw_FICO_retail	raw_FICO_bank_card	raw_FICO_money
9ece67d6c5	500	8/21/1991	Approved	1	0	1	10/16/2010 14:06	3	1	6	138.48	500	3		84118	WanitaGVinyard@gmail.com	124001545	1 year or more	6 months or less	6 months or less	Semi-monthly	Mobile		Other	1560	614	574	600	656	561
5c2c402094	500	7/24/1990	Approved	1	0	0	10/17/2010 13:01	6	1	13	77.39	500	6		84062	NatashaTTucker@yahoo.com	124000054	1 year or more	3+ years	3+ years	Bi-weekly	Mobile		Other	900	708	501	550	651	563
e6254cad30	400	9/13/1980	Approved	1	620	1	10/17/2010 19:52	6	1	13	61.91	400	6		84119	AnneDCisneros@hotmail.com	124001545	1 year or more	7-12 months	1-2 years	Bi-weekly	Mobile		Other	1434	687	522	561	661	598
49fb42f51d	500	9/10/1976	Approved	0	785	0	10/18/2010 7:05	4	1	8	108.48	500	4		84405	CatalinaRRoderick@hotmail.com	124002971	1 year or more	3+ years	7-12 months	Bi-weekly	Mobile		Other	1600	616	560	552	634	591
195fbe5739	300	12/1/1979	Approved	1	700	1	10/19/2010 10:58	4	1	8	65.09	300	4		84404	PhillipMSinn@aol.com	124002971	1 year or more	3+ years	6 months or less	Bi-weekly	Mobile	Home	Other	1360	681	603	654	659	636
b5286ff5b4	400	5/23/1977	Approved	0	1600	1	10/21/2010 21:21	4	1	4	107.61	400	4		84020	BeckyRFleischer@aol.com	324079500	1 year or more	1-2 years	1-2 years	Monthly	Mobile		Other	4900	716	573	571	680	620
d06841c8cf	300	1/6/1960	Approved	1	865	1	10/23/2010 19:52	4	1	4	136.6	300	4		84404	DorisTGowen@hotmail.com	324377516	1 year or more	3+ years	1-2 years	Monthly	Mobile		Other	3200	486	580	627	659	627
90e4cdc381	500	10/17/1959	Approved	1	1000	1	10/24/2010 16:05	2	1	4	129.35	500	2		84020	CarolynCSmith@aol.com	124000054	1 year or more	6 months or less	6 months or less	Bi-weekly	Mobile		Other	2200	530	537	508	551	583
c1a1065b7a	400	4/20/1961	Approved	1	169	1	10/26/2010 11:22	4	1	4	182.14	400	4	164.04	84116	MarieCMurr@aol.com	324079555	1 year or more	3+ years	1-2 years	Monthly	Home	Mobile	Other	1200	645	532	560	680	594
0dba6b011d	500	12/27/1982	Approved	1	1265	1	10/27/2010 14:12	6	1	13	77.39	500	6		84095	DorothyJBoerger@yahoo.com	124001545	1 year or more	6 months or less	1-2 years	Bi-weekly	Mobile		Other	4160	586	527	525	637	592
96acbba7ed	400	5/9/1948	Approved	0	1175	1	10/27/2010 19:10	4	1	8	86.79	400	4		84319	NikkiTMcQueen@yahoo.com	324377516	1 year or more	3+ years	3+ years	Bi-weekly	Mobile		Other	5326	564	526	547	677	598
289421d82a	500	3/31/1989	Approved	0	0	1	10/28/2010 7:50	6	1	12	84.03	500	6		84118	LillieEMartin@gmail.com	122238585	1 year or more	3+ years	6 months or less	Semi-monthly	Home		Other	2200	663	501	501	623	531
